row_id,logged_at,src_ip,window_start,agent_verdict,executor_outcome,rf_prediction,rf_probability,if_anomalous,if_score,reason,n_flows_merged,needs_review,reviewed_label,reviewed_attack_type,reviewed_notes,ack_ratio,avg_packet_size,common_port_ratio,dst_port_std,fin_ratio,icmp_ratio,n_packets,packets_per_sec,rst_ratio,std_packet_size,syn_only_ratio,syn_ratio,tcp_ratio,total_bytes,udp_ratio,unique_dst_ips,unique_dst_ports,unique_protocols,unique_src_ports,finalized_at
1,2026-05-17T13:38:09.955822+00:00,192.168.56.1,2026-05-17 16:37:00,ALLOW,ALLOW_NOOP,0,0.0,False,0.0,Allowlisted: 192.168.56.1,1,done,0,benign_allowlist,auto-labeled (--skip-allowlist),1.0,40.04429065743945,1.0,0.0,0.0,0.0,1445,24.491525423728813,0.0,1.6836276536469004,0.0,0.0,1.0,57864,0.0,1,1,1,1,2026-05-18T15:54:32.088749+00:00
2,2026-05-17T13:46:09.947542+00:00,192.168.56.1,2026-05-17 16:45:00,ALLOW,ALLOW_NOOP,0,0.0,False,0.0,Allowlisted: 192.168.56.1,1,done,0,benign_allowlist,auto-labeled (--skip-allowlist),1.0,40.08888888888889,1.0,0.0,0.0,0.0,1440,24.406779661016948,0.0,2.3843102831247007,0.0,0.0,1.0,57728,0.0,1,1,1,1,2026-05-18T15:54:32.088749+00:00
3,2026-05-17T14:02:09.944933+00:00,192.168.56.1,2026-05-17 17:01:00,ALLOW,ALLOW_NOOP,0,0.0,False,0.0,Allowlisted: 192.168.56.1,1,done,0,benign_allowlist,auto-labeled (--skip-allowlist),1.0,40.088581314878894,1.0,0.0,0.0,0.0,1445,24.491525423728813,0.0,2.3801844698662435,0.0,0.0,1.0,57928,0.0,1,1,1,1,2026-05-18T15:54:32.088749+00:00
4,2026-05-17T13:20:10.192776+00:00,192.168.56.100,2026-05-17 16:19:00,ALLOW,ALLOW_NOOP,0,0.0,False,-0.16365620131637,"ALLOW: RF benign, IF normal",1,done,0,benign_idle,,0.0,576.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,576,1.0,1,1,1,1,2026-05-18T15:54:32.088749+00:00
5,2026-05-17T13:40:10.162011+00:00,192.168.56.100,2026-05-17 16:39:00,ALLOW,ALLOW_NOOP,0,0.0,False,-0.16365620131637,"ALLOW: RF benign, IF normal",1,done,0,benign_idle,,0.0,576.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,576,1.0,1,1,1,1,2026-05-18T15:54:32.088749+00:00
6,2026-05-17T13:21:10.169755+00:00,192.168.56.103,2026-05-17 16:20:00,BLOCK,DRY_RUN_BLOCK,1,0.8341612802514651,True,0.14185940052877122,BLOCK: RF malicious (prob=0.834 >= 0.8) AND IF anomalous,1,done,1,syn_scan,,0.0,43.992202729044834,0.009746588693957114,296.16280321742624,0.0,0.0,1026,1026.0,0.001949317738791423,0.17651814480727912,0.9980506822612085,0.9980506822612085,1.0,45136,0.0,1,1024,1,1,2026-05-18T15:54:32.088749+00:00
7,2026-05-17T13:41:10.147861+00:00,192.168.56.103,2026-05-17 16:40:00,BLOCK,DRY_RUN_BLOCK,1,0.834161280251465,True,0.14185940052877122,BLOCK: RF malicious (prob=0.834 >= 0.8) AND IF anomalous,1,done,1,syn_scan,,0.0,43.992202729044834,0.009746588693957114,296.1628032174263,0.0,0.0,1026,1026.0,0.001949317738791423,0.17651814480727912,0.9980506822612085,0.9980506822612085,1.0,45136,0.0,1,1024,1,1,2026-05-18T15:54:32.088749+00:00
8,2026-05-17T13:43:10.173661+00:00,192.168.56.103,2026-05-17 16:42:00,WATCH,WATCH_LOGGED,1,0.7646650808579437,True,0.09427069634614593,"WATCH: RF flagged (prob=0.765, below threshold) AND IF anomalous",1,done,1,fin_scan,,0.0,40.0,0.009746588693957114,296.1628032174263,1.0,0.0,1026,513.0,0.0,0.0,0.0,0.0,1.0,41040,0.0,1,1024,1,2,2026-05-18T15:54:32.088749+00:00
9,2026-05-17T13:44:10.135876+00:00,192.168.56.103,2026-05-17 16:43:00,WATCH,WATCH_LOGGED,1,0.655,True,0.01614872276984891,"WATCH: RF flagged (prob=0.655, below threshold) AND IF anomalous",1,done,1,udp_scan,,0.0,59.541666666666664,0.0,6521.514410447451,0.0,0.0,48,24.0,0.0,47.83080033820162,0.0,0.0,0.0,2858,1.0,1,20,1,3,2026-05-18T15:54:32.088749+00:00
10,2026-05-17T13:45:10.163859+00:00,192.168.56.103,2026-05-17 16:44:00,BLOCK,DRY_RUN_BLOCK,1,0.845,True,0.08519116755940492,BLOCK: RF malicious (prob=0.845 >= 0.8) AND IF anomalous,3,done,1,udp_scan,,0.0,52.763636363636365,0.03636363636363636,12732.11275611575,0.0,0.0,110,2.1153846153846154,0.0,39.58707213514948,0.0,0.0,0.0,5804,1.0,1,44,1,13,2026-05-18T15:54:32.088749+00:00
